variable,test_used,p_value,significant,p_bonf,significant_bonf
iat_7,Chi-square,0.0003030773789701093,True,0.03121697003392126,True
iat_15,Chi-square,0.0009031609436930035,True,0.09302557720037936,False
audit_7,Chi-square,0.0010169635877612755,True,0.10474724953941138,False
iat_13,Chi-square,0.0018225111215065834,True,0.18771864551517808,False
iat_14,Chi-square,0.002694353539946596,True,0.2775184146144994,False
pcl5_17,Chi-square,0.0028787443038708737,True,0.2965106632987,False
iat_9,Chi-square,0.0031588542333126617,True,0.32536198603120414,False
iat_16,Chi-square,0.003477807640418508,True,0.3582141869631063,False
AUDIT_total,Chi-square,0.003732538798429847,True,0.38445149623827424,False
iat_12,Chi-square,0.005041596688581931,True,0.5192844589239388,False
iat_8,Chi-square,0.005432585241627947,True,0.5595562798876785,False
pcl5_18,Chi-square,0.006608510446280244,True,0.6806765759668651,False
iat_20,Chi-square,0.007474566070540572,True,0.7698803052656789,False
IAT_total,Chi-square,0.009046136610830108,True,0.9317520709155012,False
iat_18,Chi-square,0.009457192812897348,True,0.9740908597284269,False
iat_5,Chi-square,0.012072510946593857,True,1.0,False
iat_10,Chi-square,0.013909329458485858,True,1.0,False
pcl5_4,Chi-square,0.015899306500266296,True,1.0,False
iat_3,Chi-square,0.016573118151806055,True,1.0,False
iat_11,Chi-square,0.017619430607883388,True,1.0,False
iat_17,Chi-square,0.019779058715336837,True,1.0,False
pgsi_8,Chi-square,0.020667437573523545,True,1.0,False
PCL5_total,Chi-square,0.028258745681918593,True,1.0,False
pcl5_12,Chi-square,0.031166328085974592,True,1.0,False
audit_1,Chi-square,0.055390957447078275,False,1.0,False
swls_4,Chi-square,0.05814489833884601,False,1.0,False
iat_6,Chi-square,0.05932220116465588,False,1.0,False
audit_9,Chi-square,0.0665050220888624,False,1.0,False
audit_5,Chi-square,0.06700415544544476,False,1.0,False
audit_3,Chi-square,0.07130722631015787,False,1.0,False
pcl5_20,Chi-square,0.07390927811913026,False,1.0,False
pgsi_7,Chi-square,0.09368250101361023,False,1.0,False
audit_2,Chi-square,0.10263569983689669,False,1.0,False
iat_1,Chi-square,0.11253263352631732,False,1.0,False
education,Chi-square,0.13517481199948167,False,1.0,False
dast_9,Chi-square,0.13794161978570776,False,1.0,False
pcl5_11,Chi-square,0.14654539256291735,False,1.0,False
iat_4,Chi-square,0.1477966048645015,False,1.0,False
mspss_9,Chi-square,0.1507622237803529,False,1.0,False
mspss_10,Chi-square,0.15238393051035853,False,1.0,False
marital,Chi-square,0.15610099612337627,False,1.0,False
audit_10,Chi-square,0.16043910489659255,False,1.0,False
mspss_8,Chi-square,0.17944308169815756,False,1.0,False
dast_6,Chi-square,0.19642157361712206,False,1.0,False
iat_19,Chi-square,0.2106059736922279,False,1.0,False
pcl5_13,Chi-square,0.21291083639813663,False,1.0,False
pgsi_9,Chi-square,0.21357513919405938,False,1.0,False
pcl5_6,Chi-square,0.22015827054655648,False,1.0,False
who5_3,Chi-square,0.2255288310468827,False,1.0,False
audit_4,Chi-square,0.2537479691338553,False,1.0,False
pcl5_8,Chi-square,0.26762992472179725,False,1.0,False
mspss_3,Chi-square,0.278711260840789,False,1.0,False
mspss_6,Chi-square,0.28315435157018853,False,1.0,False
dast_10,Chi-square,0.3198520777723638,False,1.0,False
pcl5_7,Chi-square,0.34149639942515575,False,1.0,False
swls_2,Chi-square,0.3417653232737634,False,1.0,False
dast_4,Chi-square,0.359067926256555,False,1.0,False
who5_1,Chi-square,0.3964679284562008,False,1.0,False
mspss_12,Chi-square,0.42268866716258047,False,1.0,False
mspss_11,Chi-square,0.44018766218910943,False,1.0,False
iat_2,Chi-square,0.4423375076675079,False,1.0,False
age,Chi-square,0.4732513170554463,False,1.0,False
pgsi_3,Chi-square,0.49749404838913547,False,1.0,False
audit_6,Chi-square,0.5321585291516966,False,1.0,False
pcl5_10,Chi-square,0.5321921641178762,False,1.0,False
mspss_4,Chi-square,0.532808955446286,False,1.0,False
dast_7,Chi-square,0.5460587724017665,False,1.0,False
who5_4,Chi-square,0.5491403950400746,False,1.0,False
income,Chi-square,0.5502810738111761,False,1.0,False
mspss_2,Chi-square,0.5898678107967781,False,1.0,False
pgsi_5,Chi-square,0.6014813028552046,False,1.0,False
audit_8,Chi-square,0.6331926824205427,False,1.0,False
dast_2,Chi-square,0.6433372211305937,False,1.0,False
who5_2,Chi-square,0.6621667814819938,False,1.0,False
mspss_5,Chi-square,0.6726372432034782,False,1.0,False
pcl5_14,Chi-square,0.6838089817009596,False,1.0,False
pgsi_2,Chi-square,0.7007094029751031,False,1.0,False
mspss_7,Chi-square,0.7057655970154748,False,1.0,False
pcl5_19,Chi-square,0.7066547799189571,False,1.0,False
pcl5_15,Chi-square,0.722885874109823,False,1.0,False
pgsi_4,Chi-square,0.76167056261368,False,1.0,False
who5_5,Chi-square,0.76515211148782,False,1.0,False
pcl5_16,Chi-square,0.7667715695319045,False,1.0,False
mspss_1,Chi-square,0.7750499688058455,False,1.0,False
pgsi_1,Chi-square,0.7783873245262847,False,1.0,False
dast_8,Chi-square,0.7894237080021682,False,1.0,False
pcl5_5,Chi-square,0.7986246494889895,False,1.0,False
dast_1,Chi-square,0.801559146309071,False,1.0,False
pcl5_2,Chi-square,0.8142994730500084,False,1.0,False
pgsi_6,Chi-square,0.8285856520307155,False,1.0,False
DAST_total,Chi-square,0.860705823446366,False,1.0,False
swls_5,Chi-square,0.8643042024115454,False,1.0,False
WHO5_total,Chi-square,0.8925291143716041,False,1.0,False
SWLS_total,Chi-square,0.8925291143716041,False,1.0,False
MSPSS_total,Chi-square,0.8925291143716041,False,1.0,False
pcl5_9,Chi-square,0.8925339632763672,False,1.0,False
pcl5_3,Chi-square,0.9153534703413174,False,1.0,False
dast_5,Chi-square,0.9224864135072761,False,1.0,False
dast_3,Chi-square,0.9297432127610845,False,1.0,False
swls_1,Chi-square,0.9326031296501524,False,1.0,False
swls_3,Chi-square,0.9492882835713334,False,1.0,False
PGSI_total,Chi-square,0.9503750185784394,False,1.0,False
pcl5_1,Chi-square,0.958198352753937,False,1.0,False
