variable,k_groups,n_used,kw_stat,p_value,p_bonf,significant_bonf
dast_4,23,221,36.141934208260885,0.029319425618657736,1.0,False
mspss_12,23,221,35.914169232580356,0.031015515713562633,1.0,False
mspss_7,23,221,35.538692990785854,0.03400498062488246,1.0,False
pcl5_1,23,221,35.212395505558234,0.036809934989604685,1.0,False
education,23,221,34.372902690239016,0.044997257121937674,1.0,False
iat_6,23,221,34.34265862772651,0.04532018197978644,1.0,False
gender,23,221,34.33146038440569,0.04544026739698193,1.0,False
mspss_1,23,221,33.95850766987922,0.049603467058016035,1.0,False
pgsi_4,23,221,32.633665060124436,0.0672162487115072,1.0,False
who5_4,23,221,32.36048957006075,0.07145441741619371,1.0,False
dast_8,23,221,32.210567922106584,0.073876270125056,1.0,False
iat_1,23,221,31.831505709501457,0.08031437212220148,1.0,False
audit_1,23,221,31.12541022598836,0.09357772688629785,1.0,False
pcl5_8,23,221,31.006434788831616,0.09598393385799608,1.0,False
iat_7,23,221,30.772046334027188,0.10087521519118718,1.0,False
mspss_11,23,221,30.159217943243906,0.11464563190292533,1.0,False
income,23,221,29.978272991237368,0.11899345146457556,1.0,False
audit_10,23,221,29.646411873493687,0.12731469124581749,1.0,False
dast_6,23,221,29.56834407052021,0.1293387338917914,1.0,False
iat_18,23,221,29.308919333393373,0.136250582149744,1.0,False
marital,23,221,29.18922861264372,0.1395371033803969,1.0,False
pgsi_6,23,221,29.16535083318329,0.14020020883757295,1.0,False
mspss_3,23,221,29.001921339469323,0.14480594661233975,1.0,False
iat_14,23,221,28.92264767650835,0.14708253905308888,1.0,False
who5_1,23,221,28.715536713604024,0.15316298644136364,1.0,False
swls_5,23,221,28.48267303846104,0.16023147611717029,1.0,False
pgsi_7,23,221,28.456154332278327,0.1610521867669988,1.0,False
pgsi_2,23,221,28.292894608964197,0.16617639536186854,1.0,False
iat_10,23,221,28.04608566155297,0.174158915112298,1.0,False
dast_3,23,221,27.81857557837967,0.18177194884672682,1.0,False
who5_2,23,221,27.700421598208692,0.18582306477815438,1.0,False
pcl5_10,23,221,27.373124195931386,0.197396345243968,1.0,False
audit_8,23,221,27.211422562836574,0.20330622681485508,1.0,False
dast_2,23,221,27.167866986360284,0.20491995323096565,1.0,False
dast_7,23,221,26.86082556479398,0.21656022774098282,1.0,False
iat_11,23,221,26.853669140770396,0.2168370754345736,1.0,False
DAST_total,23,221,26.62637947432047,0.22576157669739885,1.0,False
iat_3,23,221,25.994822250461898,0.25190440086322524,1.0,False
iat_5,23,221,25.795284859092966,0.26057518943613495,1.0,False
iat_15,23,221,25.7589276523021,0.2621762640808035,1.0,False
audit_4,23,221,25.74569658933495,0.262760543369296,1.0,False
audit_2,23,221,25.66534451106204,0.26632739434577557,1.0,False
PGSI_total,23,221,25.560256607341362,0.2710402137709711,1.0,False
IAT_total,23,221,25.472136547829763,0.27503385444499734,1.0,False
dast_1,23,221,25.350632628400707,0.2806027289660779,1.0,False
mspss_6,23,221,25.171572478040662,0.2889404518338816,1.0,False
dast_5,23,221,24.80157584919507,0.30665749646182755,1.0,False
pcl5_5,23,221,24.715693127395618,0.31086291848546527,1.0,False
pcl5_16,23,221,24.01361180051947,0.34651631055048654,1.0,False
