variable,edu_a,edu_b,n_a,n_b,u_stat,p_value,p_bonf,significant_bonf,rank_biserial_r
income,5.0,8.0,39,48,1064.0,0.2755665336447196,1.0,False,-0.1367521367521367
income,5.0,13.0,39,58,294.0,7.302839805690402e-10,1.0954259708535604e-08,True,0.7400530503978779
income,5.0,18.0,39,38,366.0,0.00013341472473083445,0.0020012208709625167,True,0.5060728744939271
income,5.0,22.0,39,29,2.0,2.8240661599291658e-12,4.236099239893749e-11,True,0.9964633068081344
income,5.0,25.0,39,9,0.0,3.6491563713396047e-06,5.473734557009407e-05,True,1.0
income,8.0,13.0,48,58,416.5,5.912082374925953e-10,8.86812356238893e-09,True,0.7007902298850575
income,8.0,18.0,48,38,415.5,1.5783126760529527e-05,0.00023674690140794292,True,0.544407894736842
income,8.0,22.0,48,29,17.0,9.470107581981338e-13,1.4205161372972006e-11,True,0.9755747126436781
income,8.0,25.0,48,9,0.0,2.317974535391267e-06,3.476961803086901e-05,True,1.0
income,13.0,18.0,58,38,1267.0,0.21750630763087464,1.0,False,-0.14972776769509988
income,13.0,22.0,58,29,280.0,4.438998833877132e-07,6.658498250815698e-06,True,0.6670630202140309
income,13.0,25.0,58,9,26.5,1.6621313465929702e-05,0.0002493197019889455,True,0.8984674329501916
income,18.0,22.0,38,29,171.5,1.6046964598474055e-06,2.4070446897711083e-05,True,0.6887477313974592
income,18.0,25.0,38,9,23.5,7.007401824672121e-05,0.0010511102737008182,True,0.8625730994152047
income,22.0,25.0,29,9,90.0,0.16906631202558797,1.0,False,0.31034482758620685
DAST_total,5.0,8.0,39,48,446.0,4.375861441510388e-06,6.563792162265582e-05,True,0.5235042735042735
DAST_total,5.0,13.0,39,58,79.0,2.5313457951235912e-15,3.797018692685387e-14,True,0.9301503094606542
DAST_total,5.0,18.0,39,38,205.0,4.617235639238337e-09,6.925853458857506e-08,True,0.7233468286099864
DAST_total,5.0,22.0,39,29,0.0,1.4202539783585055e-13,2.1303809675377583e-12,True,1.0
DAST_total,5.0,25.0,39,9,0.0,5.899024309794093e-08,8.84853646469114e-07,True,1.0
DAST_total,8.0,13.0,48,58,475.0,4.214926058068628e-09,6.322389087102941e-08,True,0.6587643678160919
DAST_total,8.0,18.0,48,38,558.0,0.0016795217968974111,0.025192826953461166,True,0.38815789473684215
DAST_total,8.0,22.0,48,29,160.5,1.2462824920451468e-08,1.8694237380677203e-07,True,0.7693965517241379
DAST_total,8.0,25.0,48,9,54.0,0.00029077835947362117,0.0043616753921043175,True,0.75
DAST_total,13.0,18.0,58,38,1448.0,0.009194294203387278,0.13791441305080918,False,-0.3139745916515426
DAST_total,13.0,22.0,58,29,1051.0,0.05756920062471872,0.8635380093707808,False,-0.24970273483947691
DAST_total,13.0,25.0,58,9,352.5,0.09231658596325733,1.0,False,-0.35057471264367823
DAST_total,18.0,22.0,38,29,438.5,0.15215331247486552,1.0,False,0.20417422867513613
DAST_total,18.0,25.0,38,9,145.5,0.4949325672031508,1.0,False,0.14912280701754388
DAST_total,22.0,25.0,29,9,144.0,0.6338390603776092,1.0,False,-0.10344827586206895
PGSI_total,5.0,8.0,39,48,1367.5,0.0002223877858466379,0.0033358167876995685,True,-0.4610042735042734
PGSI_total,5.0,13.0,39,58,2158.5,1.4873353320705137e-14,2.2310029981057705e-13,True,-0.9084880636604775
PGSI_total,5.0,18.0,39,38,1251.0,1.9069342048223578e-07,2.8604013072335367e-06,True,-0.688259109311741
PGSI_total,5.0,22.0,39,29,1131.0,2.1467545121693003e-12,3.220131768253951e-11,True,-1.0
PGSI_total,5.0,25.0,39,9,351.0,3.662510682066141e-06,5.493766023099212e-05,True,-1.0
PGSI_total,8.0,13.0,48,58,2315.0,1.9753737060946013e-09,2.963060559141902e-08,True,-0.6630747126436782
PGSI_total,8.0,18.0,48,38,1273.0,0.0015704913974696388,0.023557370962044584,True,-0.39583333333333326
PGSI_total,8.0,22.0,48,29,1228.0,1.9652328794745952e-08,2.947849319211893e-07,True,-0.764367816091954
PGSI_total,8.0,25.0,48,9,375.0,0.00048663830087800725,0.0072995745131701085,True,-0.7361111111111112
PGSI_total,13.0,18.0,58,38,783.0,0.012248755228936547,0.1837313284340482,False,0.2894736842105263
PGSI_total,13.0,22.0,58,29,712.5,0.23008411191562494,1.0,False,0.15279429250891796
PGSI_total,13.0,25.0,58,9,182.0,0.12762364949797408,1.0,False,0.30268199233716475
PGSI_total,18.0,22.0,38,29,688.0,0.08001137041651782,1.0,False,-0.24863883847549917
PGSI_total,18.0,25.0,38,9,193.5,0.5475365211389855,1.0,False,-0.13157894736842102
PGSI_total,22.0,25.0,29,9,96.0,0.22989448009961078,1.0,False,0.26436781609195403
pgsi_7,5.0,8.0,39,48,1292.5,0.0015281390033904801,0.022922085050857202,True,-0.38087606837606836
pgsi_7,5.0,13.0,39,58,1900.5,1.8345997773113136e-10,2.7518996659669705e-09,True,-0.6803713527851458
pgsi_7,5.0,18.0,39,38,1147.5,1.1361383678005603e-05,0.00017042075517008403,True,-0.548582995951417
pgsi_7,5.0,22.0,39,29,998.0,5.458874680763903e-09,8.188312021145855e-08,True,-0.7648099027409372
pgsi_7,5.0,25.0,39,9,298.0,0.0007411004721758767,0.011116507082638151,True,-0.6980056980056981
pgsi_7,8.0,13.0,48,58,1903.0,8.780325173055738e-05,0.0013170487759583606,True,-0.3670977011494252
pgsi_7,8.0,18.0,48,38,1102.0,0.06727605260338705,1.0,False,-0.20833333333333326
pgsi_7,8.0,22.0,48,29,1024.5,4.828433649093892e-05,0.0007242650473640838,True,-0.4719827586206897
pgsi_7,8.0,25.0,48,9,294.5,0.062364400994209084,0.9354660149131363,False,-0.3634259259259258
pgsi_7,13.0,18.0,58,38,907.0,0.04732817313363517,0.7099225970045275,False,0.17695099818511795
pgsi_7,13.0,22.0,58,29,919.5,0.223609596315397,1.0,False,-0.0933412604042807
pgsi_7,13.0,25.0,58,9,249.5,0.7536563577099291,1.0,False,0.044061302681992376
pgsi_7,18.0,22.0,38,29,705.5,0.007318265312720301,0.10977397969080452,False,-0.280399274047187
pgsi_7,18.0,25.0,38,9,195.5,0.42836095284466047,1.0,False,-0.14327485380116967
pgsi_7,22.0,25.0,29,9,110.5,0.20797794639432632,1.0,False,0.15325670498084287
IAT_total,5.0,8.0,39,48,471.0,7.275795120139962e-05,0.0010913692680209943,True,0.4967948717948718
IAT_total,5.0,13.0,39,58,828.0,0.025984753142611693,0.3897712971391754,False,0.2679045092838196
IAT_total,5.0,18.0,39,38,665.5,0.4443984615203709,1.0,False,0.10188933873144401
IAT_total,5.0,22.0,39,29,976.0,3.6262021650334074e-07,5.439303247550111e-06,True,-0.7259062776304155
IAT_total,5.0,25.0,39,9,351.0,3.651379297251757e-06,5.477068945877635e-05,True,-1.0
IAT_total,8.0,13.0,48,58,1750.0,0.023230040437102556,0.34845060655653837,False,-0.257183908045977
IAT_total,8.0,18.0,48,38,1259.5,0.0025420671131014204,0.03813100669652131,True,-0.3810307017543859
IAT_total,8.0,22.0,48,29,1294.0,3.3191863752130223e-10,4.978779562819534e-09,True,-0.8591954022988506
IAT_total,8.0,25.0,48,9,432.0,2.3772582759688384e-06,3.565887413953258e-05,True,-1.0
IAT_total,13.0,18.0,58,38,1225.0,0.3586499474631568,1.0,False,-0.11161524500907438
IAT_total,13.0,22.0,58,29,1340.0,7.131354090590958e-06,0.00010697031135886438,True,-0.5933412604042807
IAT_total,13.0,25.0,58,9,418.5,0.003881748811117278,0.05822623216675917,False,-0.603448275862069
IAT_total,18.0,22.0,38,29,914.5,4.3349294455676e-06,6.5023941683514e-05,True,-0.6597096188747731
IAT_total,18.0,25.0,38,9,303.5,0.0003572536577917764,0.005358804866876646,True,-0.7748538011695907
IAT_total,22.0,25.0,29,9,93.0,0.20337326599473504,1.0,False,0.28735632183908044
iat_18,5.0,8.0,39,48,415.5,4.981300107513368e-06,7.471950161270051e-05,True,0.5560897435897436
iat_18,5.0,13.0,39,58,774.5,0.007639217699287508,0.11458826548931263,False,0.3152077807250221
iat_18,5.0,18.0,39,38,578.5,0.09232944723741385,1.0,False,0.2192982456140351
iat_18,5.0,22.0,39,29,830.5,0.0008040187379633007,0.012060281069449511,True,-0.4686118479221928
iat_18,5.0,25.0,39,9,281.5,0.004401137007234899,0.06601705510852349,False,-0.603988603988604
iat_18,8.0,13.0,48,58,1766.0,0.014633657197364126,0.2195048579604619,False,-0.26867816091954033
iat_18,8.0,18.0,48,38,1264.5,0.0016282153489550976,0.024423230234326465,True,-0.38651315789473695
iat_18,8.0,22.0,48,29,1265.0,1.0512535570632938e-09,1.5768803355949407e-08,True,-0.8175287356321839
iat_18,8.0,25.0,48,9,411.0,9.720527866534998e-06,0.00014580791799802498,True,-0.9027777777777777
iat_18,13.0,18.0,58,38,1229.0,0.33163944194226647,1.0,False,-0.11524500907441015
iat_18,13.0,22.0,58,29,1370.0,1.2038004818072683e-06,1.8057007227109024e-05,True,-0.629013079667063
iat_18,13.0,25.0,58,9,452.0,0.00034366383179952744,0.005154957476992911,True,-0.7318007662835249
iat_18,18.0,22.0,38,29,888.5,1.3338838181050996e-05,0.00020008257271576495,True,-0.6125226860254083
iat_18,18.0,25.0,38,9,295.5,0.000625322575084919,0.009379838626273786,True,-0.7280701754385965
iat_18,22.0,25.0,29,9,145.0,0.6061706483637561,1.0,False,-0.11111111111111116
dast_1,5.0,8.0,39,48,799.5,0.013754734630566546,0.2063210194584982,False,0.14583333333333337
dast_1,5.0,13.0,39,58,351.0,1.7418392863414337e-11,2.6127589295121504e-10,True,0.6896551724137931
dast_1,5.0,18.0,39,38,468.0,3.2428340399497105e-05,0.0004864251059924566,True,0.368421052631579
dast_1,5.0,22.0,39,29,312.0,4.109141631657318e-06,6.163712447485977e-05,True,0.4482758620689655
dast_1,5.0,25.0,39,9,78.0,1.2887761145209697e-06,1.9331641717814546e-05,True,0.5555555555555556
dast_1,8.0,13.0,48,58,635.0,2.4069936475624964e-08,3.610490471343745e-07,True,0.5438218390804598
dast_1,8.0,18.0,48,38,709.0,0.01796266405803976,0.2694399608705964,False,0.2225877192982456
dast_1,8.0,22.0,48,29,485.5,0.003653896737953985,0.054808451069309774,False,0.30244252873563215
dast_1,8.0,25.0,48,9,127.5,0.006393397316763273,0.09590095975144909,False,0.4097222222222222
dast_1,13.0,18.0,58,38,1456.0,0.002055106350905549,0.030826595263583237,True,-0.32123411978221417
dast_1,13.0,22.0,58,29,1044.0,0.030981014317835842,0.46471521476753763,False,-0.24137931034482762
dast_1,13.0,25.0,58,9,296.0,0.4355244843142081,1.0,False,-0.13409961685823757
dast_1,18.0,22.0,38,29,507.0,0.517068384140267,1.0,False,0.07985480943738654
dast_1,18.0,25.0,38,9,139.0,0.3164741071566898,1.0,False,0.1871345029239766
dast_1,22.0,25.0,29,9,116.5,0.5921049575167605,1.0,False,0.10727969348659006
iat_8,5.0,8.0,39,48,478.0,5.8100527745670985e-05,0.0008715079161850648,True,0.48931623931623935
iat_8,5.0,13.0,39,58,865.5,0.04625906051758111,0.6938859077637166,False,0.23474801061007955
iat_8,5.0,18.0,39,38,750.0,0.9296714389254158,1.0,False,-0.012145748987854255
iat_8,5.0,22.0,39,29,880.0,5.457193477962355e-05,0.0008185790216943533,True,-0.5561450044208665
iat_8,5.0,25.0,39,9,303.0,0.0005330393297908415,0.007995589946862622,True,-0.7264957264957266
iat_8,8.0,13.0,48,58,1736.5,0.02490461224137447,0.37356918362061703,False,-0.24748563218390807
iat_8,8.0,18.0,48,38,1309.0,0.00043627800438591043,0.006544170065788657,True,-0.4353070175438596
iat_8,8.0,22.0,48,29,1277.5,4.703940164951242e-10,7.055910247426863e-09,True,-0.8354885057471264
iat_8,8.0,25.0,48,9,414.5,9.103004645611497e-06,0.00013654506968417246,True,-0.9189814814814814
iat_8,13.0,18.0,58,38,1304.0,0.12346051873788585,1.0,False,-0.1833030852994555
iat_8,13.0,22.0,58,29,1372.0,9.70483228274022e-07,1.455724842411033e-05,True,-0.6313912009512486
iat_8,13.0,25.0,58,9,452.0,0.0003413631238483375,0.005120446857725062,True,-0.7318007662835249
iat_8,18.0,22.0,38,29,818.5,0.00046434674848319245,0.006965201227247887,True,-0.4854809437386569
iat_8,18.0,25.0,38,9,280.0,0.002689553761327701,0.040343306419915514,True,-0.6374269005847952
iat_8,22.0,25.0,29,9,151.5,0.42191364216112437,1.0,False,-0.16091954022988508
WHO5_total,5.0,8.0,39,48,654.0,0.015663407046397345,0.23495110569596017,False,0.3012820512820513
WHO5_total,5.0,13.0,39,58,848.0,0.03708685995920604,0.5563028993880906,False,0.2502210433244916
WHO5_total,5.0,18.0,39,38,553.0,0.05519323672932419,0.8278985509398629,False,0.2537112010796221
WHO5_total,5.0,22.0,39,29,74.0,1.0247685573821125e-09,1.5371528360731687e-08,True,0.8691423519009726
WHO5_total,5.0,25.0,39,9,0.0,3.4855875537123333e-06,5.2283813305685e-05,True,1.0
WHO5_total,8.0,13.0,48,58,1385.5,0.9695086954472947,1.0,False,0.004669540229885083
WHO5_total,8.0,18.0,48,38,865.0,0.6842933098602079,1.0,False,0.05153508771929827
WHO5_total,8.0,22.0,48,29,156.5,1.2686947411507005e-08,1.9030421117260507e-07,True,0.7751436781609196
WHO5_total,8.0,25.0,48,9,0.0,1.981333983967784e-06,2.972000975951676e-05,True,1.0
WHO5_total,13.0,18.0,58,38,1113.5,0.9341681660568754,1.0,False,-0.010435571687840373
WHO5_total,13.0,22.0,58,29,326.5,3.4608033607611966e-06,5.191205041141795e-05,True,0.6117717003567182
WHO5_total,13.0,25.0,58,9,51.5,0.00011596486146488683,0.0017394729219733023,True,0.8026819923371648
WHO5_total,18.0,22.0,38,29,219.5,2.6501624087117335e-05,0.00039752436130676,True,0.6016333938294011
