variable,k_groups,n_used,kw_stat,p_value,p_bonf,significant_bonf
PGSI_total,69,221,185.25372248118967,8.390191532492126e-13,8.64189727846689e-11,True
DAST_total,69,221,184.097586018228,1.2205097250906228e-12,1.2571250168433413e-10,True
dast_7,69,221,164.8820889672743,5.092588376578919e-10,5.245366027876287e-08,True
pcl5_6,69,221,161.24795725174175,1.5234993527373795e-09,1.5692043333195008e-07,True
MSPSS_total,69,221,156.32066476300676,6.561273427823628e-09,6.758111630658337e-07,True
WHO5_total,69,221,156.22821058380612,6.7415639557250296e-09,6.94381087439678e-07,True
pcl5_4,69,221,155.938173190178,7.339412556774957e-09,7.559594933478206e-07,True
pcl5_1,69,221,153.4155939694036,1.529694773914095e-08,1.5755856171315178e-06,True
SWLS_total,69,221,152.4769202180324,2.0061239963498092e-08,2.0663077162403033e-06,True
swls_3,69,221,151.7902888371488,2.4443791573657563e-08,2.517710532086729e-06,True
education,69,221,151.73708449456765,2.48202520298751e-08,2.5564859590771355e-06,True
pcl5_13,69,221,148.984794453332,5.443523684895907e-08,5.606829395442784e-06,True
dast_9,69,221,147.69756160026296,7.831186040143393e-08,8.066121621347694e-06,True
pcl5_10,69,221,147.6093044008753,8.028227078479007e-08,8.269073890833378e-06,True
pcl5_14,69,221,146.3593372780487,1.1401075853779714e-07,1.1743108129393105e-05,True
dast_1,69,221,145.72657534517984,1.3604524028486276e-07,1.4012659749340865e-05,True
pcl5_16,69,221,144.25191366913896,2.0489576083704117e-07,2.110426336621524e-05,True
mspss_12,69,221,143.35902179913677,2.6214281692006406e-07,2.7000710142766598e-05,True
IAT_total,69,221,142.72399099484392,3.1212170337912486e-07,3.214853544804986e-05,True
PCL5_total,69,221,142.01300624683128,3.7919194036905606e-07,3.9056769858012775e-05,True
pcl5_19,69,221,139.1278848564205,8.287294772427614e-07,8.535913615600443e-05,True
dast_5,69,221,137.92716206853143,1.1429969080865036e-06,0.00011772868153290987,True
dast_10,69,221,137.46850217330788,1.2915653789031752e-06,0.00013303123402702704,True
pcl5_8,69,221,137.1768850357231,1.3956678158240551e-06,0.00014375378502987768,True
dast_2,69,221,134.85899769632687,2.5716116531884236e-06,0.00026487600027840766,True
dast_4,69,221,134.42516714965728,2.88038514151557e-06,0.0002966796695761037,True
pcl5_3,69,221,133.26085016931472,3.898771704597668e-06,0.0004015734855735598,True
dast_8,69,221,131.7633683979839,5.735001128614061e-06,0.0005907051162472482,True
dast_3,69,221,131.71470069509314,5.807003655539466e-06,0.000598121376520565,True
pcl5_2,69,221,130.6471731721821,7.626962216837753e-06,0.0007855771083342886,True
pcl5_20,69,221,130.46075920753538,7.997172843529599e-06,0.0008237088028835487,True
mspss_7,69,221,130.45082108857858,8.017392544401194e-06,0.0008257914320733231,True
mspss_3,69,221,130.13746031593982,8.681062060714776e-06,0.000894149392253622,True
swls_1,69,221,129.468800177397,1.0280588736241778e-05,0.0010589006398329032,True
mspss_9,69,221,128.82154751560776,1.2099736956969362e-05,0.0012462729065678443,True
pcl5_9,69,221,125.74171344639416,2.5992270176500768e-05,0.002677203828179579,True
pcl5_7,69,221,125.65643273415625,2.6541689582989098e-05,0.0027337940270478773,True
iat_18,69,221,125.27509869373813,2.9139039090379825e-05,0.003001321026309122,True
mspss_1,69,221,124.73838049138273,3.3215230975451554e-05,0.00342116879047151,True
pcl5_11,69,221,124.7135538516531,3.341655258818397e-05,0.003441904916582949,True
pcl5_18,69,221,124.3153496895422,3.681151522658325e-05,0.003791586068338075,True
iat_6,69,221,123.96761843139572,4.004694160268415e-05,0.004124834985076467,True
mspss_10,69,221,123.85586355777453,4.1143902774176895e-05,0.0042378219857402205,True
swls_5,69,221,123.4074908465438,4.5844227927948756e-05,0.004721955476578722,True
who5_1,69,221,123.11176692085346,4.922380821073488e-05,0.005070052245705693,True
pcl5_17,69,221,122.62500011726422,5.5316790668255474e-05,0.005697629438830314,True
pcl5_5,69,221,122.38404528772668,5.859611671440909e-05,0.006035400021584136,True
mspss_11,69,221,122.10673201596124,6.260255860667559e-05,0.006448063536487586,True
mspss_5,69,221,121.92511959145985,6.536818584912049e-05,0.006732923142459411,True
swls_4,69,221,120.68424472828124,8.767252122866155e-05,0.009030269686552139,True
dast_6,69,221,120.58539592437464,8.97348345384299e-05,0.00924268795745828,True
iat_19,69,221,119.14148561591573,0.0001257344298151943,0.012950646270965012,True
iat_4,69,221,118.59816234815682,0.0001425888403791276,0.014686650559050144,True
iat_8,69,221,118.45455744934576,0.00014739393976806326,0.015181575796110515,True
iat_3,69,221,118.16207497394205,0.00015766572395597655,0.016239569567465584,True
iat_16,69,221,116.95999667405765,0.00020756096422789517,0.021378779315473204,True
mspss_2,69,221,116.8134694737294,0.00021458927356306752,0.022102695176995955,True
pcl5_12,69,221,115.8948547984508,0.00026412556401396664,0.027204933093438563,True
pgsi_5,69,221,115.25156465329515,0.00030513750961668677,0.03142916349051874,True
who5_3,69,221,115.19900254850532,0.0003087449060521038,0.03180072532336669,True
iat_2,69,221,114.66073707784112,0.0003481087474477098,0.03585520098711411,True
mspss_4,69,221,114.6508814195593,0.0003488723328995421,0.035933850288652834,True
iat_15,69,221,114.38203600487229,0.0003703289104865221,0.03814387778011178,True
iat_1,69,221,114.21975704007109,0.0003838836275190627,0.03954001363446346,True
iat_5,69,221,114.1298539125989,0.0003915953369272179,0.04033431970350344,True
iat_10,69,221,113.47990592183268,0.00045190463131724044,0.04654617702567577,True
mspss_6,69,221,112.76305615728614,0.0005286535272756805,0.054451313309395094,False
iat_17,69,221,111.966649495543,0.0006284180331238346,0.06472705741175495,False
pcl5_15,69,221,111.47585991929238,0.0006985441969658191,0.07195005228747937,False
who5_4,69,221,111.35057323571654,0.0007176009696530199,0.07391289987426104,False
pgsi_7,69,221,111.19178181129529,0.0007424631118018439,0.07647370051558992,False
iat_13,69,221,109.87192433178123,0.0009831284341146106,0.10126222871380489,False
iat_12,69,221,109.80009837457072,0.0009981449569713805,0.10280893056805218,False
iat_9,69,221,109.19167346568283,0.0011343349380799296,0.11683649862223275,False
pgsi_1,69,221,108.4621802141131,0.0013207559274220554,0.1360378605244717,False
mspss_8,69,221,108.40607177399106,0.0013362309339458474,0.13763178619642227,False
pgsi_2,69,221,106.70620554948702,0.001894639415102656,0.19514785975557358,False
who5_5,69,221,106.28411570942524,0.0020639024057472147,0.21258194779196313,False
pgsi_6,69,221,105.0674612999732,0.002634475670001055,0.27135099401010865,False
swls_2,69,221,104.32939490449758,0.003049188385301351,0.31406640368603916,False
iat_11,69,221,103.56214895530418,0.0035442270339493356,0.36505538449678154,False
iat_14,69,221,102.22233758193254,0.004591694159710208,0.4729444984501514,False
pgsi_4,69,221,101.23138089467987,0.005543414587879952,0.5709717025516351,False
pgsi_8,69,221,99.7875381096091,0.007258474024590257,0.7476228245327965,False
iat_20,69,221,96.7503613224864,0.012550066032405617,1.0,False
pgsi_3,69,221,96.49470188016127,0.013125841649017192,1.0,False
pgsi_9,69,221,93.57944726054349,0.021586817697224644,1.0,False
iat_7,69,221,93.50069238606433,0.021870955877228822,1.0,False
marital,69,221,92.19645726195512,0.027082264119608037,1.0,False
AUDIT_total,69,221,89.02268539948105,0.04452500239211519,1.0,False
audit_2,69,221,88.86812106935966,0.04557753605079131,1.0,False
audit_5,69,221,87.23132065035442,0.058083374263443205,1.0,False
audit_9,69,221,86.42412913512491,0.06524012717672428,1.0,False
who5_2,69,221,84.39123612133146,0.08654069802913028,1.0,False
audit_8,69,221,82.45355767705615,0.11173942900548607,1.0,False
audit_3,69,221,82.16441086078864,0.11594679712811498,1.0,False
audit_7,69,221,81.51544631670875,0.12583432067886705,1.0,False
audit_10,69,221,75.34682172191788,0.252917587580213,1.0,False
gender,69,221,73.22508977624787,0.3106849116724959,1.0,False
audit_4,69,221,71.96483936677377,0.3480743365987868,1.0,False
audit_6,69,221,71.13706340001644,0.3737406176754186,1.0,False
audit_1,69,221,67.9590868146542,0.4785870981775535,1.0,False
age,69,221,60.98500909719588,0.714250355079133,1.0,False
